Timestamp,Daily Hours of Sleep,Hours Spent on Social Media Daily,,,Hours Spent on Social Media Daily,Daily Hours of Sleep
5/22/2026 22:18:18,7,2,,,2,7
5/22/2026 22:18:32,5,4,,,4,5
5/22/2026 22:18:59,9,4,,,4,9
5/22/2026 22:19:07,8,3,,,3,8
5/22/2026 22:22:15,7.5,2.5,,,2.5,7.5
5/22/2026 22:24:05,6,2.5,,,2.5,6
5/22/2026 22:26:04,5,3.5,,,3.5,5
5/22/2026 22:32:43,7,2,,,2,7
5/23/2026 5:53:12,8,1.5,,,1.5,8
5/23/2026 5:53:23,6,4,,,4,6
5/23/2026 5:53:52,8,0.5,,,0.5,8
5/23/2026 5:54:13,6.5,3.5,,,3.5,6.5
5/23/2026 5:54:23,4,5,,,5,4
5/23/2026 5:54:36,7.5,2,,,2,7.5
5/23/2026 5:55:03,4.5,5.5,,,5.5,4.5
5/23/2026 5:55:26,7.5,2.5,,,2.5,7.5
5/23/2026 5:59:00,7,2,,,2,7
5/23/2026 6:00:05,7,2.5,,,2.5,7
5/23/2026 6:00:24,6,5,,,5,6
5/23/2026 6:00:41,8,2,,,2,8
5/23/2026 6:00:46,7,1,,,1,7
5/23/2026 6:00:52,6,2,,,2,6
5/23/2026 6:01:05,7,3,,,3,7
5/23/2026 6:01:18,5,4,,,4,5
5/23/2026 6:01:35,8,1,,,1,8
5/23/2026 6:02:06,7,3.5,,,3.5,7
5/23/2026 6:03:17,4.5,5,,,5,4.5
5/23/2026 6:03:24,6,3,,,3,6
5/23/2026 6:03:35,7,2,,,2,7
5/23/2026 6:04:27,6,3.5,,,3.5,6
,,,,,,
5/23/2026 11:42:48,7,2,,,2,7
5/23/2026 11:51:41,6,7.5,,,7.5,6
5/23/2026 11:55:30,5,4,,,4,5
